Time,User,Tweet
2020-07-03 15:52:19+00:00,DisasterState,import mantralayaroom mahdgiparhatap tcolmusickeysak
2020-07-03 15:49:52+00:00,DisasterState,import mantralayaroom mahdgiparhattap tcoifahuzpt
2020-07-03 15:47:37+00:00,DisasterState,weather updat cmomaharashtra mantralayaroom mahadgipr
2020-06-02 14:32:02+00:00,DisasterState,citizen district take care cyclon heavi rain imdweath ndrf disasterst
2020-05-16 19:30:46+00:00,DisasterState,team work mantralayaroom disasterst import yyabhay sir along team mantralaya control room
2020-05-13 17:01:27+00:00,DisasterState,per list prepar district collector secretari depart disast manag relief rehabilit sanction financi assist chief minist assist fund fund use purpos distribut
2020-05-08 04:53:38+00:00,DisasterState,import division district emerg control room contact number entir state maharashtra follow inform regard inter state entrast movement pls call number ndmaindia cmomaharashtra mahadgipr mantralayaroom
2020-05-08 04:45:43+00:00,DisasterState,import follow contact number division district emerg control room entir state maharashtra number contact inform regard instat outofst travel cmomaharashtra mahadgipr antmantralayaroom yyabhay
2020-04-27 19:03:04+00:00,DisasterState,pleasur welcom cmomaharashtra mahadgipr antmantralayaroom theyareback
2020-04-25 07:39:43+00:00,DisasterState,home stayathom stayhomestaysaf waragainstcoronavirus antmantralayaroom mahamedd mahadgipr yyabhay mahahealthiec
