Time,User,Tweet
2022-04-30 08:04:00+00:00,ndmaindia,heatwav go barefoot
2022-04-30 07:35:00+00:00,ndmaindia,heatwav avoid strenuous activ outsid temperatur high afternoon
2022-04-30 07:05:00+00:00,ndmaindia,heatwav know els affect heat wavehot air
2022-04-30 06:32:00+00:00,ndmaindia,heatwav nt ventur heat unnecessarili case need follow dont
2022-04-30 06:04:00+00:00,ndmaindia,heatwav keep home cool tri stay low floor
2022-04-30 05:34:00+00:00,ndmaindia,tip protect children heatstrok
2022-04-30 05:04:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin
2022-04-30 04:35:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid kamalkishorein pibindia kamalkishorein mohfwindia
2022-04-30 04:05:00+00:00,ndmaindia,learn way reduc effect heatstrok
2022-04-30 03:35:00+00:00,ndmaindia,heatwav heat wave make sure drink suffici water
2022-04-30 03:05:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-30 03:01:17+00:00,ndmaindia,april weather warn sourc indiametdept duststorm isol place like punjab haryana chandigarh delhi uttarpradesh east rajasthan
2022-04-30 03:01:16+00:00,ndmaindia,april weather warn sourc indiametdept isol place jammu east uttarpradesh east rajasthan chhattisgarh bihar western part ganget westbeng gujarat state north madhya maharashtra telangana interior odisha
2022-04-30 03:01:15+00:00,ndmaindia,april weather warn sourc indiametdept heat wave condit part like punjab haryana chandigarh delhi west uttarpradesh west rajasthan madhyapradesh vidarbha jharkhand
2022-04-30 03:01:15+00:00,ndmaindia,april weather warn sourc indiametdept heavi rainfal isol place like assam meghalaya kerala mahe
2022-04-30 03:01:14+00:00,ndmaindia,april weather warn sourc ndindiametdept himachalpradesh arunachalpradesh andaman nicobar island rayalaseema karnataka tamilnadu south chhattisgarh ganget westbeng
2022-04-30 03:01:13+00:00,ndmaindia,april weather warn sourc indiametdept lightninggusti wind speed kmph isol place bihar telangana kerala mahe lightn isol place jammu kashmir ladakh gilgit baltistan muzaffarabad
2022-04-30 03:01:12+00:00,ndmaindia,april weather warn sourc indiametdept lightninggusti wind speed kmph isol place subhimalayan westbeng sikkim assam meghalaya nagaland manipur mizoram tripura
2022-04-30 03:01:11+00:00,ndmaindia,april weather warn sourc indiametdept thunderstorm accompani lightninggusti wind hail speed kmph isol place like uttarakhand
2022-04-30 02:36:47+00:00,ndmaindia,heatwav know sign symptom heatstrok
2022-04-29 18:02:00+00:00,ndmaindia,heatwav avoid cook peak hour open door window ventil cook area adequ
2022-04-29 17:34:00+00:00,ndmaindia,heatwav take follow precaut staysaf heat wave
2022-04-29 17:05:00+00:00,ndmaindia,heatwav watch video know peopl resid hilli region protect heat wave
2022-04-29 16:34:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-29 16:03:00+00:00,ndmaindia,heatwav know keep home cool summer
2022-04-29 12:20:24+00:00,ndmaindia,meet aim deliber discuss progress event activ mechan bric minist disast manag propos outcom initi event activ bric urban search rescu simul exercis
2022-04-29 12:20:23+00:00,ndmaindia,senior offici ndmaindia particip th meet joint task forc disastermanag along jtf repres bric countri
2022-04-29 11:35:00+00:00,ndmaindia,dont take care old weak person rise heat
2022-04-29 11:03:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-29 10:33:00+00:00,ndmaindia,heatwav heat wave danger everyon tri help need heat wave
2022-04-29 10:02:00+00:00,ndmaindia,care coronavirus stay safe follow covid compliant behavior cleanli medicin strict win battl corona indiafightscorona unitefightcorona sourc mohfwindia
2022-04-29 09:35:00+00:00,ndmaindia,earthquak step follow indoor outdoor ensur safeti earthquak
2022-04-29 09:02:00+00:00,ndmaindia,panic earthquak know earthquak
2022-04-29 08:35:00+00:00,ndmaindia,earthquak safeti tip hang heavi hang pictur mirror away bed sofa sette seat area
2022-04-29 08:15:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin
2022-04-29 08:05:00+00:00,ndmaindia,dont follow earthquak watch video know
2022-04-29 07:52:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid kamalkishorein pibindia kamalkishorein mohfwindia
2022-04-29 07:35:00+00:00,ndmaindia,covid wear mask part solut unitefightcorona wearamask covidappropriatebehaviour
2022-04-29 07:04:00+00:00,ndmaindia,keep babi safe extrem heat heat
2022-04-29 06:33:00+00:00,ndmaindia,heatwav avoid strenuous activ outsid temperatur high afternoon
2022-04-29 06:04:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-29 05:34:00+00:00,ndmaindia,heatwav leav children pet park vehicl may get affect heat wave
2022-04-29 05:02:00+00:00,ndmaindia,heatwav heat wave fatal make sure follow dont
2022-04-29 04:35:00+00:00,ndmaindia,heatwav know protect anim heat stroke
2022-04-29 04:16:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin
2022-04-29 04:07:05+00:00,ndmaindia,april weather warn sourc ndindiametdept delhi uttarpradesh rajasthan east madhyapradesh chhattisgarh bihar jharkhand western part ganget westbeng telangana interior odisha
2022-04-29 04:07:04+00:00,ndmaindia,april weather warn sourc indiametdept heat wave condit part like west madhyapradesh vidarbha isol place jammu punjab haryana chandigarh
2022-04-29 04:07:04+00:00,ndmaindia,april weather warn sourc indiametdept heavi rainfal isol place like arunachalpradesh assam meghalaya
2022-04-29 04:07:03+00:00,ndmaindia,april weather warn sourc indiametdept lightn isol place arunachalpradesh jammu kashmir ladakh gilgit baltistan muzaffarabad himachalpradesh uttarakhand subhimalayan westbeng sikkim south chhattisgarh kerala mahe
2022-04-29 04:07:03+00:00,ndmaindia,april weather warn sourc indiametdept thunderstorm accompani lightninggusti wind speed kmph isol place assam meghalaya nagaland manipur mizoram tripura telangana
2022-04-29 04:03:00+00:00,ndmaindia,covid pay attent take care safe get vaccin wear mask follow corona rule cleanli medicin strict win fight corona unitefightcorona wevaccin
2022-04-29 03:45:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid pibhomeaffair pibindia kamalkishorein mohfwindia
2022-04-29 03:33:00+00:00,ndmaindia,firesafeti fire safeti prepar note possibl escap aid
2022-04-29 03:03:00+00:00,ndmaindia,firesafeti smoke alarm import part home fire escap plan equip home smoke alarm help provid earli warn event fire home
2022-04-29 02:33:00+00:00,ndmaindia,firesafeti fire safeti prepar
2022-04-29 02:00:01+00:00,ndmaindia,essenti item emerg kit besmartbeprepar staysaf
2022-04-29 01:35:00+00:00,ndmaindia,thunderstorm know stay safe thunderstorm dust storm high wind
2022-04-29 01:03:00+00:00,ndmaindia,dont relat thunderstorm duststorm squall
2022-04-29 00:34:00+00:00,ndmaindia,respons follow key covid appropri habit help break chain coronavirus infect unitefightcorona indiafightscorona
2022-04-29 00:04:00+00:00,ndmaindia,lightn foot dont staysaf thunderstorm lightn nt take shelter tree
2022-04-28 23:34:00+00:00,ndmaindia,lightn staysaf travel thunderstorm lightn forest
2022-04-28 23:01:00+00:00,ndmaindia,lightn know stay safe electr
2022-04-28 22:33:00+00:00,ndmaindia,lightn hair stand back neck could indic lightn immin
2022-04-28 22:03:00+00:00,ndmaindia,lightn know dont staysaf lightn strike
2022-04-28 21:35:00+00:00,ndmaindia,lightn keep away util line lightn
2022-04-28 21:05:00+00:00,ndmaindia,smart safe care even get vaccin time follow covid compliant behavior unitefightcorona wevaccin covidappropriatebehaviour sourc mohfwindia
2022-04-28 20:34:00+00:00,ndmaindia,landslid rememb landslid
2022-04-28 20:03:00+00:00,ndmaindia,landslid touch walk loos materi electr wire pole
2022-04-28 19:35:00+00:00,ndmaindia,landslid landslid move away landslid path
2022-04-28 19:01:00+00:00,ndmaindia,landslid landslid avoid construct stay vulner area
2022-04-28 18:34:00+00:00,ndmaindia,landslid landslid
2022-04-28 18:03:00+00:00,ndmaindia,landslid complet inform stay safe landslid nt wait prepar today
2022-04-28 17:35:00+00:00,ndmaindia,landslid learn avoid landslid video sign languag video hearingimpair
2022-04-28 17:03:00+00:00,ndmaindia,landslid dont ensur safeti landslid
2022-04-28 16:34:00+00:00,ndmaindia,smart stay safe follow covid compliant behavior time cleanli medicin strict win battl corona indiafightscorona unitefightcorona sourc mohfwindia
2022-04-28 16:05:00+00:00,ndmaindia,heatwav know avoid heat wave
2022-04-28 15:35:00+00:00,ndmaindia,heatwav heat wave danger take follow precaut staysaf heat wave
2022-04-28 14:35:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid pibhomeaffair pibindia kamalkishorein mohfwindia
2022-04-28 14:03:00+00:00,ndmaindia,earthquak protect earthquak drop cover hold techniqu
2022-04-28 13:33:00+00:00,ndmaindia,earthquak follow dont ensur safeti earthquak
2022-04-28 13:03:00+00:00,ndmaindia,earthquak earthquak resist hous help save live know
2022-04-28 12:36:00+00:00,ndmaindia,panic earthquak know earthquak
2022-04-28 12:02:00+00:00,ndmaindia,earthquak learn avoid earthquak
2022-04-28 11:41:08+00:00,ndmaindia,job alert advertis one post assist advisor inform technolog deput basi ndmaindia assist advisor inform technolog one deput detail
2022-04-28 11:35:00+00:00,ndmaindia,dispos mask correct rememb proper dispos use mask import wear one unitefightcorona indiafightscorona sourc mygovindia
2022-04-28 11:04:00+00:00,ndmaindia,essenti item emerg kit besmartbeprepar staysaf
2022-04-28 10:34:00+00:00,ndmaindia,dont evad ill drink boiledchlorin water chlorin water
2022-04-28 10:03:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid pibhomeaffair pibindia kamalkishorein mohfwindia
2022-04-28 09:35:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin mohfwindia
2022-04-28 09:04:00+00:00,ndmaindia,covid follow covidappropriatebehaviour sms end coronavirus maintain safe distanc wear mask proper frequent washsanit hand soap unitefightcorona
2022-04-28 08:35:00+00:00,ndmaindia,homesafeti import possibl escap rout exit case emerg prepar includ emerg exitsescap plan home
2022-04-28 08:06:00+00:00,ndmaindia,homesafeti tip disast strike secur import document
2022-04-28 07:32:00+00:00,ndmaindia,awar prepar prepar emerg evacu plan well disast unforeseen event strike disasteremerg homesafeti
2022-04-28 07:04:00+00:00,ndmaindia,three golden rule help break chain corona alway wear mask wash hand thorough frequent soap water maintain meter distanc other unitefightcorona indiafightscorona
2022-04-28 06:33:00+00:00,ndmaindia,heatwav wear lightweight light colour loos cotton cloth
2022-04-28 06:03:00+00:00,ndmaindia,heatwav avoid highprotein food eat stale food
2022-04-28 05:34:00+00:00,ndmaindia,heatwav avoid cook peak hour open door window ventil cook area adequ
2022-04-28 05:04:00+00:00,ndmaindia,heatwav heat wave danger take follow precaut staysaf heat wave
2022-04-28 04:34:00+00:00,ndmaindia,heatwav use or oral rehydr solut homemad drink like lassi torani rice water lemon water buttermilk etc keep hydrat
2022-04-28 04:03:00+00:00,ndmaindia,heatwav avoid harsh sun heat stroke take care know avoid heat wave
2022-04-28 03:50:36+00:00,ndmaindia,april weather warn sourc ndindiametdept madhyapradesh vidarbha chhattisgarh bihar jharkhand interior ganget westbeng interior odisha northern part gujarat state
2022-04-28 03:50:35+00:00,ndmaindia,april weather warn sourc ndindiametdept mahe tamilnadu puducherri karaik heat wave condit isol pocket like punjab haryana chandigarh delhi uttarpradesh rajasthan
2022-04-28 03:50:34+00:00,ndmaindia,april weather warn sourc indiametdept lightn isol place jammu kashmir ladakh gilgit baltistan muzaffarabad himachalpradesh assam meghalaya south konkan goa madhya maharashtra south chhattisgarh karnataka kerala
2022-04-28 03:50:33+00:00,ndmaindia,april weather warn sourc indiametdept thunderstorm accompani lightninggusti wind speed kmph isol place like subhimalayan westbeng sikkim telangana
2022-04-28 03:35:00+00:00,ndmaindia,heatwav heat wave make sure drink suffici water
2022-04-28 03:04:00+00:00,ndmaindia,respons safe nt forget wear mask maintain gaj doori step home indiafightscorona unitefightcorona
2022-04-28 02:33:00+00:00,ndmaindia,public notic regard order honbl suprem court date regard last date file claim compens case death due covid pibhomeaffair pibhindi kamalkishorin
2022-04-28 02:04:00+00:00,ndmaindia,ndmaindia issu public notic regard file claim compens case death occur due covid pibhomeaffair pibindia kamalkishorein
2022-04-28 01:34:00+00:00,ndmaindia,firesafeti escap fire
2022-04-28 01:03:00+00:00,ndmaindia,firesafeti fire safeti prepar test alarm month
2022-04-28 00:36:00+00:00,ndmaindia,firesafeti consid escap ladder collaps rope one resid consist one level
2022-04-28 00:03:00+00:00,ndmaindia,covid wearamask save life other well wearamasksavealif unitefightcorona
2022-04-27 23:34:00+00:00,ndmaindia,disast prepar thunderstorm duststorm squall dont
2022-04-27 23:02:00+00:00,ndmaindia,disast prepar thunderstorm duststorm squall dont
2022-04-27 22:34:00+00:00,ndmaindia,prepar thunderstorm duststorm squall dont
2022-04-27 22:04:00+00:00,ndmaindia,thunderstorm know stay safe thunderstorm dust storm high wind
2022-04-27 21:34:00+00:00,ndmaindia,care coronavirus stay safe follow covid compliant behavior cleanli medicin strict win battl corona indiafightscorona unitefightcorona sourc mohfwindia
2022-04-27 21:03:00+00:00,ndmaindia,lightn outsid thunderstorm lightn avoid open structuresspac
2022-04-27 20:34:00+00:00,ndmaindia,lightn home work dont staysaf thunderstorm lightn updat local weather
2022-04-27 20:04:00+00:00,ndmaindia,lightn know stay safe electr
2022-04-27 19:34:00+00:00,ndmaindia,lightn home work dont staysaf thunderstorm lightn remov debri
2022-04-27 19:03:00+00:00,ndmaindia,lightn know dont staysaf lightn strike
2022-04-27 18:33:00+00:00,ndmaindia,lightn foot dont staysaf thunderstorm lightn go safe shelter immedi
2022-04-27 18:03:00+00:00,ndmaindia,lightn best avoid open vehicl thunderstorm lightn
2022-04-27 17:34:00+00:00,ndmaindia,stay safe infect covid follow covid compliant behavior time even get vaccin indiafightscorona unitefightcorona
2022-04-27 17:03:00+00:00,ndmaindia,need know staysaf landslid resid area vulner landslid
2022-04-27 16:35:00+00:00,ndmaindia,landslid learn landslid avoid
2022-04-27 15:33:00+00:00,ndmaindia,heatwav know get heat wave warn inform
2022-04-27 15:05:00+00:00,ndmaindia,heatwav take follow precaut staysaf heat wave
